t psi theta phi
3.171586 -12.936150 1.044232 52.281714
3.176588 -12.956711 1.044342 52.363988
3.181591 -12.977276 1.044451 52.446257
3.186593 -12.997843 1.044558 52.528523
3.191596 -13.018414 1.044664 52.610785
3.196598 -13.038989 1.044768 52.693043
3.201601 -13.059566 1.044870 52.775297
3.206603 -13.080147 1.044970 52.857547
3.211606 -13.100730 1.045069 52.939793
3.216608 -13.121317 1.045165 53.022036
3.221611 -13.141907 1.045260 53.104276
3.226613 -13.162499 1.045353 53.186511
3.231616 -13.183095 1.045444 53.268744
3.236618 -13.203693 1.045532 53.350973
3.241621 -13.224294 1.045619 53.433199
3.246623 -13.244898 1.045704 53.515421
3.251626 -13.265504 1.045787 53.597641
3.256628 -13.286113 1.045867 53.679857
3.261631 -13.306724 1.045946 53.762070
3.266633 -13.327338 1.046022 53.844281
3.271636 -13.347954 1.046096 53.926489
3.276638 -13.368572 1.046168 54.008694
3.281641 -13.389193 1.046237 54.090896
3.286643 -13.409816 1.046305 54.173096
3.291646 -13.430440 1.046370 54.255293
3.296648 -13.451067 1.046432 54.337488
3.301651 -13.471696 1.046493 54.419681
3.306653 -13.492326 1.046551 54.501871
3.311656 -13.512959 1.046606 54.584059
3.316658 -13.533593 1.046659 54.666246
